CUT,Nombre,Unnamed,Provincia,Region,Superficie_km2,Poblacion2017,Densidad_hab_km2,IDH 2005,IDH 2005_1,Latitud,Longitud
15101,Arica,,Arica,Arica y Parinacota,4799.4,221364,0.46,38.4,Alto,"-18°27'18""","-70°17'24"""
15102,Camarones,,Arica,Arica y Parinacota,3927,1255,0.32,0.7509999999999999,Alto,"-19°1'1.2""","-69°52'1.2"""
15201,Putre,,Parinacota,Arica y Parinacota,5902.5,2765,0.47,0.7070000000000001,Alto,"-18°12'0""","-69°34'58.8"""
15202,General Lagos,,Parinacota,Arica y Parinacota,2244.4,684,0.31,0.67,Medio,"-17°39'10.8""","-69°38'6"""
1101,Iquique,,Iquique,Tarapacá,2242.1,191468,85.4,0.7659999999999999,Alto,"-20°14'38.4""","-70°8'20.4"""
1107,Alto Hospicio,,Iquique,Tarapacá,572.9,108375,189.2,,Bajo,"-20°15'25.2""","-70°1'19.2"""
1401,Pozo Almonte,,Tamarugal,Tarapacá,13765.8,15711,1.14,0.722,Alto,"-20°17'27.6""","-69°41'45.6"""
1402,Camiña,,Tamarugal,Tarapacá,2200.2,1250,0.57,0.619,Medio,"-20°28'58.8""","-69°22'1.2"""
1403,Colchane,,Tamarugal,Tarapacá,4015.6,1728,0.43,0.603,Medio,"-19°17'2.4""","-68°40'30"""
1404,Huara,,Tamarugal,Tarapacá,10474.6,2730,0.26,0.6759999999999999,Medio,"-19°48'32.4""","-69°58'19.2"""
1405,Pica,,Tamarugal,Tarapacá,8934.3,9296,1.04,0.7929999999999999,Alto,"-20°28'58.8""","-69°22'40.8"""
2101,Antofagasta,,Antofagasta,Antofagasta,30718.1,361873,11.8,0.7340000000000001,Alto,"-23°39'3.6""","-70°23'42"""
2102,Mejillones,,Antofagasta,Antofagasta,3803.9,13467,3.54,0.73,Alto,"-23°6'36""","-70°27'21.6"""
2103,Sierra Gorda,,Antofagasta,Antofagasta,12886,10186,0.79,0.789,Alto,"-22°53'52.8""","-69°19'22.8"""
2104,Taltal,,Antofagasta,Antofagasta,20405.1,13317,0.65,0.716,Alto,"-25°24'36""","-70°29'20.4"""
2201,Calama,,El Loa,Antofagasta,15596.9,165731,10.6,0.757,Alto,"-22°28'26.4""","-68°55'26.4"""
2202,Ollagüe,,El Loa,Antofagasta,2964,321,0.11,0.679,Medio,"-21°13'58.8""","-68°16'1.2"""
2203,San Pedro de Atacama,,El Loa,Antofagasta,23439,10996,0.47,0.711,Alto,"-22°55'12""","-68°12'36"""
2301,Tocopilla,,Tocopilla,Antofagasta,4038.8,25186,6.24,0.69,Medio,"-22°4'55.2""","-70°11'20.4"""
2302,María Elena,,Tocopilla,Antofagasta,12197,6457,0.53,0.779,Alto,"-22°19'1.2""","-69°40'37.2"""
3101,Copiapó,,Copiapó,Atacama,16681.3,153937,9.23,0.725,Alto,"-27°22'30""","-70°19'44.4"""
3102,Caldera,,Copiapó,Atacama,4666.6,17662,3.79,0.741,Alto,"-27°3'57.6""","-70°49'33.6"""
3103,Tierra Amarilla,,Copiapó,Atacama,11191,14019,1.25,0.6859999999999999,Medio,"-27°28'22.8""","-70°16'58.8"""
3201,Chañaral,,Chañaral,Atacama,5772,12 219,2.12,0.7140000000000001,Alto,"-26°20'45.6""","-70°37'26.4"""
3202,Diego de Almagro,,Chañaral,Atacama,18664,13925,0.75,0.789,Alto,"-26°23'24""","-70°3'7.2"""
3301,Vallenar,,Huasco,Atacama,7084,51 917,7.33,0.731,Alto,"-28°34'37.2""","-70°46'12"""
3302,Alto del Carmen,,Huasco,Atacama,5939,5299,0.89,0.664,Medio,"-28°44'56.4""","-70°29'27.6"""
3303,Freirina,,Huasco,Atacama,3207.9,7041,2.19,0.693,Medio,"-28°30'21.6""","-71°4'33.6"""
3304,Huasco,,Huasco,Atacama,1601.4,10 149,6.34,0.695,Medio,"-28°27'21.6""","-71°11'9.6"""
4101,La Serena,,Elqui,Coquimbo,1892.8,221054,116.8,0.7809999999999999,Alto,"-29°54'25.2""","-71°14'49.2"""
4102,Coquimbo,,Elqui,Coquimbo,1429,227730,159.4,0.731,Alto,"-29°58'15.6""","-71°18'25.2"""
4103,Andacollo,,Elqui,Coquimbo,310,11044,35.7,0.675,Medio,"-30°13'48""","-71°5'9.6"""
4104,La Higuera,,Elqui,Coquimbo,4158.2,4241,1.02,0.67,Medio,"-29°30'0""","-71°16'58.8"""
4105,Paihuano,,Elqui,Coquimbo,1495,4497,3.01,0.7340000000000001,Alto,"-30°2'16.8""","-70°30'25.2"""
4106,Vicuña,,Elqui,Coquimbo,7610,27771,3.65,0.716,Alto,"-30°1'8.4""","-70°42'54"""
4201,Illapel,,Choapa,Coquimbo,2629,30 848,11.7,0.667,Medio,"-31°38'20.4""","-71°10'44.4"""
4202,Canela,,Choapa,Coquimbo,2196.6,9093,4.14,0.644,Medio,"-31°23'45.6""","-71°25'8.4"""
4203,Los Vilos,,Choapa,Coquimbo,1823.8,21382,11.7,0.675,Medio,"-31°54'54""","-71°30'21.6"""
4204,Salamanca,,Choapa,Coquimbo,3445,29347,8.52,0.6759999999999999,Medio,"-31°46'48""","-70°58'1.2"""
4301,Ovalle,,Limarí,Coquimbo,3835,111272,29.0,0.725,Alto,"-30°35'56.4""","-71°11'20.4"""
4302,Combarbalá,,Limarí,Coquimbo,2257.5,13322,5.9,0.6609999999999999,Medio,"-31°10'48""","-71°0'14.4"""
4303,Monte Patria,,Limarí,Coquimbo,4366.9,30751,7.04,0.653,Medio,"-30°46'30""","-70°56'34.8"""
4304,Punitaqui,,Limarí,Coquimbo,1339,10956,8.18,0.653,Medio,"-30°49'58.8""","-71°15'36"""
4305,Río Hurtado,,Limarí,Coquimbo,2180,4278,1.96,0.653,Medio,"-30°16'22.8""","-70°40'1.2"""
5101,Valparaíso,,Valparaíso,Valparaíso,401.6,296 655,738.7,0.701,Alto,"-33°2'60""","-71°36'57.6"""
5102,Casablanca,,Valparaíso,Valparaíso,953,26867,28.2,0.7120000000000001,Alto,"-33°19'30""","-71°24'36"""
5103,Concón,,Valparaíso,Valparaíso,76,42 152,554.6,0.7809999999999999,Alto,"-32°57'36""","-71°28'8.4"""
5104,Juan Fernández,,Valparaíso,Valparaíso,149.4,926,6.2,0.7440000000000001,Alto,"-33°37'58.8""","-78°52'1.2"""
5105,Puchuncaví,,Valparaíso,Valparaíso,300,18546,61.8,0.7340000000000001,Alto,"-32°44'52.8""","-71°23'52.8"""
5107,Quintero,,Valparaíso,Valparaíso,148,31 923,215.7,0.733,Alto,"-32°50'42""","-71°28'1.2"""
5109,Viña del Mar,,Valparaíso,Valparaíso,121.6,334248,2748.8,0.7659999999999999,Alto,"-33°1'30""","-71°30'54"""
5201,Isla de Pascua,,Isla de Pascua,Valparaíso,163.6,7750,47.4,0.715,Alto,"-27°7'43.72""","-109°21'35.89"""
5301,Los Andes,,Los Andes,Valparaíso,1248,66 708,53.5,0.7559999999999999,Alto,"-32°50'13.2""","-70°35'49.2"""
5302,Calle Larga,,Los Andes,Valparaíso,321.7,14 832,46.1,0.706,Alto,"-32°52'59""","-70°28'55"""
5303,Rinconada,,Los Andes,Valparaíso,122.5,10 207,89.3,0.691,Medio,"-32°49'59.38""","-70°41'18.28"""
5304,San Esteban,,Los Andes,Valparaíso,681,18855,27.7,0.732,Alto,"-32°48'18""","-70°34'51.6"""
5401,La Ligua,,Petorca,Valparaíso,1163,35390,30.4,0.708,Alto,"-32°21'13.28""","-71°16'19.63"""
5402,Cabildo,,Petorca,Valparaíso,1455,19 388,13.3,0.6709999999999999,Medio,"-32°24'32.4""","-71°4'48"""
5403,Papudo,,Petorca,Valparaíso,64.3,6356,98.9,0.7340000000000001,Alto,"-32°28'12""","-71°22'51.6"""
5404,Petorca,,Petorca,Valparaíso,1517,9826,6.48,0.696,Medio,"-32°17'24""","-70°57'0"""
5405,Zapallar,,Petorca,Valparaíso,288,7339,25.5,0.743,Alto,"-32°34'4.8""","-71°26'16.8"""
5501,Quillota,,Quillota,Valparaíso,302,90517,299.5,0.726,Alto,"-32°54'54""","-71°15'50.4"""
5502,La Calera,,Quillota,Valparaíso,60.5,50544,835.4,0.7,Alto,"-32°47'2.4""","-71°12'14.4"""
5503,Hijuelas,,Quillota,Valparaíso,267,17988,67.4,0.672,Medio,"-32°51'18""","-71°5'38.4"""
5504,La Cruz,,Quillota,Valparaíso,78,22 098,283.3,0.763,Alto,"-32°49'26.4""","-71°14'38.4"""
5506,Nogales,,Quillota,Valparaíso,405,22120,54.6,0.6890000000000001,Medio,"-32°44'9.6""","-71°12'28.8"""
5601,San Antonio,,San Antonio,Valparaíso,405,91350,225.6,0.6970000000000001,Medio,"-33°35'41""","-71°36'26.9"""
5602,Algarrobo,,San Antonio,Valparaíso,176,13817,78.5,0.722,Alto,"-33°22'09""","-71°40'05"""
5603,Cartagena,,San Antonio,Valparaíso,246,22738,92.4,0.708,Alto,"-33°33'13.8""","-71°36'27.4"""
5604,El Quisco,,San Antonio,Valparaíso,51,15955,312.8,0.745,Alto,"-33°23'29""","-71°41'34"""
5605,El Tabo,,San Antonio,Valparaíso,99,13286,134.2,0.747,Alto,"-33°28'48""","-71°37'15.6"""
5606,Santo Domingo,,San Antonio,Valparaíso,536,10 900,20.3,0.7509999999999999,Alto,"-33°42'28.8""","-71°37'48"""
5701,San Felipe,,San Felipe de Aconcagua,Valparaíso,186,76844,413.1,0.73,Alto,"-32°45'0""","-70°42'46.8"""
5702,Catemu,,San Felipe de Aconcagua,Valparaíso,361.6,13998,38.7,0.669,Medio,"-32°46'51.6""","-70°58'8.4"""
5703,Llay-Llay,,San Felipe de Aconcagua,Valparaíso,349.1,24608,70.5,0.6759999999999999,Medio,"-32°50'38.4""","-70°57'25.2"""
5704,Panquehue,,San Felipe de Aconcagua,Valparaíso,121.9,7273,59.7,0.696,Medio,"-32°47'2.4""","-70°50'13.2"""
5705,Putaendo,,San Felipe de Aconcagua,Valparaíso,1474,16754,11.4,0.674,Medio,"-32°37'40.8""","-70°42'57.6"""
5706,Santa María,,San Felipe de Aconcagua,Valparaíso,166.3,15 241,91.7,0.6990000000000001,Medio,"-32°45'1.2""","-70°40'1.2"""
5801,Quilpué,,Marga Marga,Valparaíso,536.9,151708,282.6,0.752,Alto,"-33°2'51.07""","-71°26'32.96"""
5802,Limache,,Marga Marga,Valparaíso,294,46121,156.9,0.722,Alto,"-33°0'10.8""","-71°15'39.6"""
5803,Olmué,,Marga Marga,Valparaíso,232,17 516,75.5,0.701,Alto,"-33°0'32.4""","-71°10'12"""
5804,Villa Alemana,,Marga Marga,Valparaíso,97,126 548,1304.6,0.755,Alto,"-33°3'57.6""","-71°19'44.4"""
6101,Rancagua,,Cachapoal,Lib. Gral. Bernardo O'Higgins,260.3,241744,928.7,0.732,Alto,"-34°9'43.2""","-70°44'27.6"""
6102,Codegua,,Cachapoal,Lib. Gral. Bernardo O'Higgins,287,12988,45.3,0.706,Alto,"-34°1'58.8""","-70°40'1.2"""
6103,Coinco,,Cachapoal,Lib. Gral. Bernardo O'Higgins,98,7359,75.1,0.6779999999999999,Medio,"-34°16'22.8""","-70°57'10.8"""
6104,Coltauco,,Cachapoal,Lib. Gral. Bernardo O'Higgins,225,19 597,87.1,0.644,Medio,"-34°17'49.2""","-71°5'31.2"""
6105,Doñihue,,Cachapoal,Lib. Gral. Bernardo O'Higgins,78,20887,267.8,0.685,Medio,"-34°11'6""","-70°53'2.4"""
6106,Graneros,,Cachapoal,Lib. Gral. Bernardo O'Higgins,113,33437,295.9,0.691,Medio,"-34°3'46.8""","-70°43'15.6"""
6107,Las Cabras,,Cachapoal,Lib. Gral. Bernardo O'Higgins,749,24640,32.9,0.6609999999999999,Medio,"-34°17'6""","-71°18'36"""
6108,Machalí,,Cachapoal,Lib. Gral. Bernardo O'Higgins,2597,52505,20.2,0.73,Alto,"-34°11'6""","-70°39'43.2"""
6109,Malloa,,Cachapoal,Lib. Gral. Bernardo O'Higgins,113,13407,118.7,0.649,Medio,"-34°26'42""","-70°56'42"""
6110,Mostazal,,Cachapoal,Lib. Gral. Bernardo O'Higgins,524,25343,48.4,0.691,Medio,"-33°58'37.2""","-70°42'32.4"""
6111,Olivar,,Cachapoal,Lib. Gral. Bernardo O'Higgins,45,13 608,302.4,0.6609999999999999,Medio,"-34°12'50.4""","-70°49'8.4"""
6112,Peumo,,Cachapoal,Lib. Gral. Bernardo O'Higgins,153.1,14313,93.5,0.674,Medio,"-34°23'20.4""","-71°10'15.6"""
6113,Pichidegua,,Cachapoal,Lib. Gral. Bernardo O'Higgins,320,19714,61.6,0.652,Medio,"-34°21'25.2""","-71°17'13.2"""
6114,Quinta de Tilcoco,,Cachapoal,Lib. Gral. Bernardo O'Higgins,93,13002,139.8,0.6779999999999999,Medio,"-34°21'25.2""","-70°58'8.4"""
6115,Rengo,,Cachapoal,Lib. Gral. Bernardo O'Higgins,755,58825,77.9,0.68,Medio,"-34°24'7.2""","-70°51'21.6"""
6116,Requínoa,,Cachapoal,Lib. Gral. Bernardo O'Higgins,673,27968,41.6,0.6679999999999999,Medio,"-34°16'58.8""","-70°48'21.6"""
6117,San Vicente,,Cachapoal,Lib. Gral. Bernardo O'Higgins,497.8,46766,93.9,0.6940000000000001,Medio,"-34°4'58.8""","-71°45'0"""
6201,Pichilemu,,Cardenal Caro,Lib. Gral. Bernardo O'Higgins,749.1,16394,21.9,0.677,Medio,"-34°24'7.2""","-72°0'32.4"""
6202,La Estrella,,Cardenal Caro,Lib. Gral. Bernardo O'Higgins,435,3041,6.99,0.696,Medio,"-34°12'0""","-71°40'1.2"""
6203,Litueche,,Cardenal Caro,Lib. Gral. Bernardo O'Higgins,619,6294,10.2,0.645,Medio,"-34°7'8.4""","-71°43'40.8"""
6204,Marchihue,Escudo de Marchihue,Cardenal Caro,Lib. Gral. Bernardo O'Higgins,660,7308,11.1,0.67,Medio,"-34°23'60""","-71°37'58.8"""
6205,Navidad,,Cardenal Caro,Lib. Gral. Bernardo O'Higgins,300,6641,22.1,0.6509999999999999,Medio,"-33°57'0""","-71°49'58.8"""
6206,Paredones,,Cardenal Caro,Lib. Gral. Bernardo O'Higgins,562,6188,11.0,0.628,Medio,"-34°39'39.6""","-71°53'38.4"""
6301,San Fernando,,Colchagua,Lib. Gral. Bernardo O'Higgins,2441,73 973,30.3,0.725,Alto,"-34°35'2.4""","-70°59'13.2"""
6302,Chépica,,Colchagua,Lib. Gral. Bernardo O'Higgins,503,15037,29.9,0.637,Medio,"-34°43'58.8""","-71°16'58.8"""
6303,Chimbarongo,,Colchagua,Lib. Gral. Bernardo O'Higgins,498,35399,71.1,0.674,Medio,"-34°42'28.8""","-71°2'31.2"""
6304,Lolol,,Colchagua,Lib. Gral. Bernardo O'Higgins,597,6811,11.4,0.628,Medio,"-34°43'51.6""","-71°38'9.6"""
6305,Nancagua,,Colchagua,Lib. Gral. Bernardo O'Higgins,111,17 833,160.7,0.665,Medio,"-34°38'56.4""","-71°12'10.8"""
6306,Palmilla,,Colchagua,Lib. Gral. Bernardo O'Higgins,237,12482,52.7,0.6759999999999999,Medio,"-34°36'14.4""","-71°21'28.8"""
6307,Peralillo,,Colchagua,Lib. Gral. Bernardo O'Higgins,282.6,11007,38.9,0.653,Medio,"-34°28'58.8""","-71°28'58.8"""
6308,Placilla,,Colchagua,Lib. Gral. Bernardo O'Higgins,146.9,8738,59.5,0.621,Medio,"-34°37'58.8""","-71°7'1.2"""
6309,Pumanque,,Colchagua,Lib. Gral. Bernardo O'Higgins,441,3421,7.76,0.635,Medio,"-34°36'18""","-71°38'38.4"""
6310,Santa Cruz,,Colchagua,Lib. Gral. Bernardo O'Higgins,419.5,37855,90.2,0.7190000000000001,Alto,"-34°37'51.6""","-71°21'32.4"""
7101,Talca,,Talca,Maule,232,220357,949.8,0.731,Alto,"-35°25'22.8""","-71°39'25.2"""
7102,Constitución,,Talca,Maule,1344,46068,34.3,0.715,Alto,"-35°20'20.4""","-72°24'50.4"""
7103,Curepto,,Talca,Maule,1073.8,9448,8.8,0.644,Medio,"-35°4'58.8""","-72°1'1.2"""
7104,Empedrado,,Talca,Maule,565,4142,7.33,0.637,Medio,"-35°35'27.6""","-72°16'22.8"""
7105,Maule,,Talca,Maule,190,49721,261.7,0.6809999999999999,Medio,"-35°30'57.6""","-71°34'19.2"""
7106,Pelarco,,Talca,Maule,332,8422,25.4,0.653,Medio,"-35°22'40.8""","-71°26'42"""
7107,Pencahue,,Talca,Maule,956.8,8245,8.62,0.649,Medio,"-35°23'27.6""","-71°47'60"""
7108,Río Claro,,Talca,Maule,431,13906,32.3,0.6709999999999999,Medio,"-35°13'1.2""","-71°15'0"""
7109,San Clemente,,Talca,Maule,4504,43269,9.61,0.659,Medio,"-35°32'2.4""","-71°29'9.6"""
7110,San Rafael,,Talca,Maule,263.5,9191,34.9,0.629,Medio,"-35°19'1.2""","-71°31'58.8"""
7201,Cauquenes,,Cauquenes,Maule,2216,40441,18.3,0.6559999999999999,Medio,"-35°57'50.4""","-72°19'1.2"""
7202,Chanco,,Cauquenes,Maule,530,8928,16.9,0.612,Medio,"-35°43'44.4""","-72°31'48"""
7203,Pelluhue,,Cauquenes,Maule,371,7571,20.4,0.6940000000000001,Medio,"-35°48'50.4""","-72°34'26.4"""
7301,Curicó,,Curicó,Maule,1328,149136,112.3,0.71,Alto,"-34°58'33.6""","-71°13'26.4"""
7302,Hualañé,,Curicó,Maule,629,9657,15.4,0.631,Medio,"-34°58'58.8""","-71°49'1.2"""
7303,Licantén,,Curicó,Maule,273,6653,24.4,0.705,Alto,"-34°58'58.8""","-72°0'0"""
7304,Molina,,Curicó,Maule,1552,45976,29.6,0.6629999999999999,Medio,"-35°5'24""","-71°16'44.4"""
7305,Rauco,,Curicó,Maule,309,10 484,33.9,0.659,Medio,"-34°55'44.4""","-71°18'39.6"""
7306,Romeral,,Curicó,Maule,1597,15187,9.51,0.6679999999999999,Medio,"-34°58'1.2""","-71°7'58.8"""
7307,Sagrada Familia,,Curicó,Maule,548.8,18544,33.8,0.672,Medio,"-35°0'0""","-71°22'58.8"""
7308,Teno,,Curicó,Maule,618.4,28921,46.8,0.648,Medio,"-34°52'22.8""","-71°9'43.2"""
7309,Vichuquén,,Curicó,Maule,426,4322,10.2,0.6779999999999999,Medio,"-34°49'22.8""","-72°2'6"""
7401,Linares,,Linares,Maule,1466,93 602,63.9,0.71,Alto,"-35°51'0""","-71°35'6"""
7402,Colbún,,Linares,Maule,2899.9,20765,7.16,0.638,Medio,"-35°42'0""","-71°25'1.2"""
7403,Longaví,,Linares,Maule,1454,30534,21.0,0.626,Medio,"-35°57'57.6""","-71°40'55.2"""
7404,Parral,,Linares,Maule,1638,41637,25.4,0.6559999999999999,Medio,"-36°8'49.2""","-71°49'19.2"""
7405,Retiro,,Linares,Maule,827,19 974,24.2,0.649,Medio,"-36°2'45.6""","-71°45'32.4"""
7406,San Javier,,Linares,Maule,1313,45547,34.7,0.654,Medio,"-35°2'60""","-71°28'1.2"""
7407,Villa Alegre,,Linares,Maule,190,16221,85.4,0.648,Medio,"-35°39'54""","-71°44'31.2"""
7408,Yerbas Buenas,,Linares,Maule,262,18081,69.0,0.64,Medio,"-35°45'0""","-71°34'58.8"""
16101,Chillán,,Diguillín,Ñuble,511.2,184739,361.4,0.7140000000000001,Alto,"-36°36'3.6""","-72°6'32.4"""
16102,Bulnes,,Diguillín,Ñuble,425.4,21493,50.5,0.626,Medio,"-36°44'20.4""","-72°17'31.2"""
16103,Chillán Viejo,,Diguillín,Ñuble,291.8,30907,105.9,0.732,Alto,"-36°37'58.8""","-72°8'24"""
16104,El Carmen,,Diguillín,Ñuble,664.3,12044,18.1,0.611,Medio,"-36°53'60""","-72°1'58.8"""
16105,Pemuco,,Diguillín,Ñuble,562.7,8448,15.0,0.631,Medio,"-36°58'40.8""","-72°5'27.6"""
16106,Pinto,,Diguillín,Ñuble,1164,10827,9.3,0.618,Medio,"-36°42'0""","-71°54'0"""
16107,Quillón,,Diguillín,Ñuble,423,17485,41.3,0.59,Medio,"-36°44'16.8""","-72°28'8.4"""
16108,San Ignacio,,Diguillín,Ñuble,363.6,16079,44.2,0.618,Medio,"-36°47'60""","-72°1'58.8"""
16109,Yungay,,Diguillín,Ñuble,823.5,17787,21.6,0.669,Medio,"-37°6'16.02""","-71°55'50.92"""
16201,Quirihue,,Itata,Ñuble,589,11594,19.7,0.594,Medio,"-36°16'51.6""","-72°32'42"""
16202,Cobquecura,,Itata,Ñuble,570.3,5012,8.79,0.633,Medio,"-36°7'58.8""","-72°46'58.8"""
16203,Coelemu,,Itata,Ñuble,342.3,15995,46.7,0.611,Medio,"-36°29'6""","-72°41'38.4"""
16204,Ninhue,,Itata,Ñuble,401.2,5213,13.0,0.569,Bajo medio,"-36°24'3.6""","-72°23'49.2"""
16205,Portezuelo,,Itata,Ñuble,282.3,4862,17.2,0.599,Medio,"-36°31'58.8""","-72°25'58.8"""
16206,Ránquil,,Itata,Ñuble,248.3,5755,23.2,0.586,Bajo alto,"-36°38'60""","-72°32'60"""
16207,Treguaco,,Itata,Ñuble,313.1,5401,17.3,0.562,Bajo medio,"-36°25'44.4""","-72°39'54"""
16301,San Carlos,,Punilla,Ñuble,874,53024,60.7,0.653,Medio,"-36°25'19.2""","-71°57'32.4"""
16302,Coihueco,,Punilla,Ñuble,1776.6,26881,15.1,0.639,Medio,"-35°46'58.8""","-72°25'58.8"""
16303,Ñiquén,,Punilla,Ñuble,493.1,11152,22.6,0.629,Medio,"-36°17'13.2""","-71°53'56.4"""
16304,San Fabián,,Punilla,Ñuble,1568.3,4308,2.75,0.618,Medio,"-36°33'14.4""","-71°32'56.4"""
16305,San Nicolás,,Punilla,Ñuble,490.5,11603,23.7,0.625,Medio,"-36°52'58.8""","-72°28'58.8"""
8101,Concepción,,Concepción,Biobío,221.6,223574,1008.9,0.757,Alto,"-36°48'54""","-73°1'44.4"""
8102,Coronel,,Concepción,Biobío,279.4,116262,416.1,0.682,Medio,"-36°58'55.2""","-73°9'25.2"""
8103,Chiguayante,,Concepción,Biobío,71.5,85938,1201.9,0.764,Alto,"-36°54'32.4""","-73°1'40.8"""
8104,Florida,,Concepción,Biobío,608.6,10 624,17.5,0.604,Medio,"-36°49'15.6""","-72°39'43.2"""
8105,Hualqui,,Concepción,Biobío,530.5,24333,589.2,0.6659999999999999,Medio,"-36°58'1.2""","-72°55'58.8"""
8106,Lota,,Concepción,Biobío,135.8,43535,320.6,0.643,Medio,"-37°5'20.4""","-73°9'18"""
8107,Penco,,Concepción,Biobío,107.6,47367,440.2,0.6890000000000001,Medio,"-36°44'31.2""","-72°59'52.8"""
8108,San Pedro de La Paz,,Concepción,Biobío,112.5,131808,1171.6,0.787,Alto,"-36°51'50.4""","-73°6'28.8"""
8109,Santa Juana,,Concepción,Biobío,731.2,13749,18.8,0.626,Medio,"-37°10'45.6""","-72°56'7.2"""
8110,Talcahuano,,Concepción,Biobío,92.3,151749,1644.1,0.731,Alto,"-36°44'9.6""","-73°6'18"""
